"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H4,H3";"hole 6mm (jack panel)";2;"MountingHole";;;
2;"J2,J3";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical";2;"AudioJack2_SwitchT";;;
3;"H5";"hole 6.5mm (potentiometer panel)";1;"MountingHole";;;
4;"RV1";"P170NP1 Switch Potentiometer";1;"R_Potentiometer_PushSwitch";;;
5;"H1,H2";"eurorack panel mounting slot";2;"MountingHole";;;
6;"D1";"LED_D3.0mm_Clear";1;"LED_Dual_Bidirectional";;;
7;"C3,C7";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";2;"10u";;;
8;"C8";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";1;"1u tant";;;
9;"C4,C5,C1,C2";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"100n";;;
10;"U2";"VSSOP-8_3.0x3.0mm_P0.65mm";1;"TMUX6219";;;
11;"J1";"PinHeader_2x05_P2.54mm_Vertical_SMD";1;"Conn_02x05_Odd_Even";;;
12;"R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"560";;;
13;"U4";"SOT-23-5";1;"MIC5219-3.3YM5";;;
14;"R2,R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"20k";;;
15;"R4";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"10k";;;
16;"U3";"SSOP-8_2.95x2.8mm_P0.65mm";1;"74LVC1G74";;;
17;"U1";"SOT-23-8_Handsoldering";1;"TL072";;;
18;"C6";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10n";;;
19;"R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1k";;;
